date;19;02;2026,,,,,,,,,
,,,,,,,,,
,sample,crusible weight (g),soil weight (5g),crusible + soil weight (before ),crusible + soil weight ( after ),LOSS,crusible + soilbefore ,crusible + soil after,loss
,site 1 R1 ,41.074,5.5,46.574,46.074,0.5,46.074,45.724,0.35
,               R2,39.163,5.36,44.523,44.163,0.36,44.163,43.788,0.375
,site 2  R1,61.955,5.78,67.735,66.955,0.78,66.955,66.615,0.34
,                R2,60.709,6.886,67.595,66.955,0.64,66.955,65.253,0.456
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,sample ,crusible weight ,soil weight,crusible + soil weight ( before),crusible + soil weigh (t after),loss,crusible + soilbefore ,crusible + soil after,loss
,site 1,38.306,6,44.306,43.366,0.94,43.366,41.752,1.614
,site 2,60.93,6,66.93,66.08,0.85,66.08,63.942,2.138
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,s,,,,,,,,
