REPLICATE 1,,,,,,REPLICATE 2,,,,,,,REPLICATE 3,,,,,,,,,,,
seedlings ,W (initial),W (final ),,,,seedlings ,W (initial),W (final ),,,,,seedlings ,W (initial),W (final ),,,,,,,,,
R1 S1,20,30,,,,R1 S1,6,10,,,,,R1 S1,25,33,,,,,,,,,
R1 S2,12,22,,,,R1 S2,10,19,,,,,R1 S2,21,27,,,,,,,,,
R1 S3,16,20,,,,R1 S3,9,15,,,,,R1 S3,13,22,,,,,,,,,initial weight =1563
R1 S4,36,45,,,,R1 S4,12,20,,,,,R1 S4,13,23,,,,,,,,,final weight = 1999
R1 S5,11,16,,,,R1 S5,11,18,,,,,R1 S5,19,26,,,,,,,,,culture peroid =51 days
R1 S6,20,28,,,,R1 S6,14,20,,,,,R1 S6,13,23,,,,,,,,,total weight gain = 436g
R1 S7,17,23,,,,R1 S7,10,16,,,,,R1 S7,16,0,,,,,,,,,AGR=Wf-Wi/t  = 8.55g/day 
R1 S8,14,20,,,,R1 S8,8,15,,,,,R1 S8,16,25,,,,,,,,,SGR= (lnWf-lnWi/t)100  =0.48%/day 
R1 S9,26,33,,,,R1 S9,12,0,,,,,R1 S9,12,22,,,,,,,,,DGR=( Wf-Wi/Wi*t)100  =0.55%/ day
R1 S10,18,0,,,,R1 S10,15,22,,,,,R1 S10,28,37,,,,,,,,,
R2 S1,14,20,,,,R2 S1,22,29,,,,,R2 S1,5,10,,,,,,,,,
R2 S2,9,18,,,,R2 S2,35,42,,,,,R2 S2,31,0,,,,,,,,,
R2 S3,24,34,,,,R2 S3,38,46,,,,,R2 S3,13,19,,,,,,,,,
R2 S4,29,35,,,,R2 S4,13,19,,,,,R2 S4,13,22,,,,,,,,,
R2 S5,13,17,,,,R2 S5,15,21,,,,,R2 S5,33,44,,,,,,,,,
R2 S6,22,32,,,,R2 S6,24,31,,,,,R2 S6,31,39,,,,,,,,,
R2 S7,21,28,,,,R2 S7,22,31,,,,,R2 S7,34,43,,,,,,,,,
R2 S8,13,22,,,,R2 S8,34,41,,,,,R2 S8,21,31,,,,,,,,,
R2 S9,15,22,,,,R2 S9,14,24,,,,,R2 S9,16,24,,,,,,,,,
R2 S10,9,0,,,,R2 S10,30,37,,,,,R2 S10,5,10,,,,,,,,,
R3 S1,24,32,,,,R3 S1,23,31,,,,,R3 S1,25,32,,,,,,,,,
R3 S2,16,26,,,,R3 S2,35,46,,,,,R3 S2,5,0,,,,,,,,,
R3 S3,24,29,,,,R3 S3,14,21,,,,,R3 S3,16,0,,,,,,,,,
R3 S4,23,31,,,,R3 S4,12,0,,,,,R3 S4,10,17,,,,,,,,,
R3 S5,8,12,,,,R3 S5,31,42,,,,,R3 S5,24,0,,,,,,,,,
R3 S6,12,21,,,,R3 S6,10,18,,,,,R3 S6,9,13,,,,,,,,,
R3 S7,18,24,,,,R3 S7,17,23,,,,,R3 S7,15,22,,,,,,,,,
R3 S8,10,16,,,,R3 S8,10,0,,,,,R3 S8,16,24,,,,,,,,,
R3 S9,7,0,,,,R3 S9,28,35,,,,,R3 S9,5,10,,,,,,,,,
R3 S10,8,15,,,,R3 S10,10,18,,,,,R3 S10,10,20,,,,,,,,,
