,soil ,,,,,,,,
,,,,,,,,,
,sample ,MOISTURE %,OM%,,,,,,
,site 1 R1 ,9.09%,7.00%,,,,,,
,site 1 R2,6.71%,7.50%,,,,,,
,mean ,,,,,,,,
,SD,,,,,,,,
,site 2 R1 ,13.49%,6.80%,,,,s,,
,site 2 R2 ,9.29%,9.12%,,,,,,
,mean ,,,,,,,,
,SD ,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
sample,crusible weight (g),soil weight (5g),crusible + soil weight (before ),crusible + soil weight ( after ),LOSS,crusible + soilbefore ,dry weight,crusible + soil after,loss
site 1 R1 ,41.074,5.5,46.574,46.074,0.5,46.074,5,45.724,0.35
               R2,39.163,5.36,44.523,44.163,0.36,44.163,5,43.788,0.375
Mean,40.12,5.43,45.55,45.12,0.43,45.12,,44.76,0.36
SD,1.35,0.10,1.45,1.35,0.10,1.35,,1.37,0.02
,,,,,,,,,
site 2  R1,61.955,5.78,67.735,66.955,0.78,66.955,5,66.615,0.34
                R2,60.709,6.886,67.595,66.955,0.64,66.955,5,65.253,0.456
Mean,61.33,6.33,67.66,66.955,0.71,66.96,,65.93,0.40
SD,0.881,0.782,0.099,0,0.099,0,,0.963,0.082
,,,,,,,,,
