date ; 06:01:2026,,,,,
,,,,,
Replicate 1,,,,,
Rope 1 ,weight (g),Rope 2,weight (g),Rope 3 ,weight(g)
R1 S1,20,R2 S1,14,R3 S1,24
R1 S2,12,R2 S2,9,R3 S2,16
R1 S3,16,R2 S3,24,R3 S3,24
R1 S4,36,R2 S4,29,R3 S4,23
R1 S5,11,R2 S5,13,R3 S5,8
R1 S6,20,R2 S6,22,R3 S6,12
R1 S7,17,R2 S7,21,R3 S7,18
R1 S8,14,R2 S8,13,R3 S8,10
R1 S9,26,R2 S9,15,R3 S9,7
R1 S10,18,R2 S10,9,R3 S10,8
,,,,,
,,,,,
Replicate 2 ,,,,,
Rope 1 ,weight (g),Rope 2,weight (g),Rope 3 ,weight(g)
R1 S1,6,R2 S1,22,R3 S1,23
R1 S2,10,R2 S2,35,R3 S2,35
R1 S3,9,R2 S3,38,R3 S3,14
R1 S4,12,R2 S4,13,R3 S4,12
R1 S5,11,R2 S5,15,R3 S5,31
R1 S6,14,R2 S6,24,R3 S6,10
R1 S7,10,R2 S7,22,R3 S7,17
R1 S8,8,R2 S8,34,R3 S8,10
R1 S9,12,R2 S9,14,R3 S9,28
R1 S10,15,R2 S10,30,R3 S10,10
,,,,,
,,,,,
Replicate 3 ,,,,,
Rope 1 ,weight (g),Rope 2,weight (g),Rope 3 ,weight(g)
R1 S1,25,R2 S1,5,R3 S1,25
R1 S2,21,R2 S2,31,R3 S2,5
R1 S3,13,R2 S3,13,R3 S3,16
R1 S4,13,R2 S4,13,R3 S4,10
R1 S5,19,R2 S5,33,R3 S5,24
R1 S6,13,R2 S6,31,R3 S6,9
R1 S7,16,R2 S7,34,R3 S7,15
R1 S8,16,R2 S8,21,R3 S8,16
R1 S9,12,R2 S9,16,R3 S9,5
R1 S10,28,R2 S10,5,R3 S10,10
,,,,,
