date; 14:01:2026,,,,,,,,,,,,,
IMTA,,,,,,,,,,,,,
Replicate 1,,,,,,,under IMTA,,,,under monoculture,,
Rope,Weight(g),Rope ,Weight (g),Rope,Weight(g),,sea cucumber ,Weight (g),Length(cm),,sea cucumber ,weight (g),Length(cm)
R1 S1 ,21,R2 S1,14,R3 S1,25,,1,278,17,,1,315,17
R1 S4,37,R2 S4,30,R3 S4,23,,2,292,15,,2,263,15.5
R1 S7,17,R2 S7,22,R3 S7,19,,3,367,18,,3,405,15
R1 S10,0,R2 S9,16,R3 S10,9,,4,359,14,,4,260,14.5
,,,,,,,5,373,17.5,,5,360,15.5
,,,,,,,6,279,16.5,,6,329,15.5
Replicate 2 ,,,,,,,7,435,17,,7,255,16
Rope,Weight(g),Rope ,Weight(g),Rope ,Weight(g),,8,436,20,,8,249,13.5
R1 S1,7,R2 S1,22,R3 S1,23,,9,272,17,,9,351,17.5
R1 S4,13,R2 S4,13,R3 S4,0,,10,138,12,,10,321,15
R1 S7,11,R2 S7,23,R3 S7,18,,11,396,17,,Mean ,310.8,15.5
R1 S9,0,,,R3 S10,11,,12,357,18,,SD,52.87469464,1.154700538
R1 S10,16,,,,,,Mean ,331.8333333,16.58333333,,,,
,,,,,,,SD,84.39176321,2.076199909,,,,
,,,,,,,,,,,,,
Replicate 3 ,,,,,,,,,,,,,
Rope,Weight(g),Rope ,Weight(g),Rope ,Weight(g),,Water quality ,,,,,,
R1 S1,26,R2 S1,6,R3 S1,26,,Sample ,PH,TDS (ppt),Salinity (ppt),Temperature,DO(mg/l) winkler,Conductivity (mS)
R1 S5,20,R2 S4,14,R3 S4,11,,Site 1  R 1,8.13,16.58,20.74,27.9,6.32,24.4
R1 S10,29,R2 S8,23,R3 S7,16,,               R2,8.17,16.42,20.55,28.4,5.696,24.3
,,R2 S10,6,R3 S10,11,,               R3,8.28,16.54,20.69,28.3,5.69,24.3
,,,,,, ,Site 2  R 1,8.11,16.46,20.57,29.3,4.064,24.2
,,,,,,,               R2 ,8.2,16.47,20.59,28.8,4.48,24.2
,,,,,,,               R3,8.15,16.6,20.77,27.9,6.112,24.4
