date: 21;01;2026,,,,,,,,,,,,,,,,,,
water quality ,,,,,,,,,,,,,,,,,,
Sample ,PH,TDS (ppt),Salinity (ppt),Temperature,DO(mg/l) probe ,Conductivity (mS),,,,,date;24;01;2026,,,,,,,
Site 1    R1,8.2,18.17,22.94,26.3,6.994,26.7,,,,,under IMTA,,,,,under  monoculture,,
                 R2,8.24,18.1,22.87,26.5,8.192,26.6,,,,,sea cucumber ,weight (g),length (cm),,,sea cucumber ,weight (g),length (cm)
                 R3,8.16,18.13,22.9,26.3,8.192,26.7,,,,,1,248,13.5,,,1,447,17
Site 2    R1,8.25,18.13,22.91,26.6,10.27,26.7,,,,,2,276,14,,,2,361,17.5
                 R2,8.22,19.61,24.97,26.6,7.36,28.8,,,,,3,260,14.5,,,3,228,14
                 R3,8.23,17.99,22.7,26.6,6.52,26.5,,,,,4,316,17,,,4,147,13
,,,,,,,,,,,5,123,11.5,,,5,213,13.5
nutrition ,,,,,,,,,,,6,262,14,,,6,349,18
sample ,NO2-(µg/L),NANO2(µg/L),NO2--N(µg/L),P2O5(µg/L),P(µg/L),PO43-(µg/L),,,,,7,387,17,,,7,134,12.5
Site 1      R1,63,94,19,53,23,71,,,,,8,403,17.5,,,8,280,14.5
                   R2     ,54,81,16,131,57,176,,,,,9,306,17.5,,,9,372,18
                   R3,55,83,17,9,4,12,,,,,10,142,12.5,,,10,112,10.5
Site 2      R1,46,-,-,113,49,151,,,,,Mean ,272.3,14.9,,,11,402,18
                   R2     ,68,102,21,48,21,64,,,,,SD,90.31678815,2.195955879,,,12,378,18.5
                   R3,72,108,22,60,26,80,,,,,,,,,,13,277,15
,,,,,,,,,,,,,,,,14,243,16
,,,,,,,,,,,,,,,,Mean ,281.6428571,15.42857143
,,,,,,,,,,,,,,,,SD,106.6717518,2.510417854
,,,,,,,,,,,,,,,,,,
