date;06;02;2026,,,,,,,,,,,,,,,
,IMTA,,,,,Monoculture,,,,,,,,,
,sea cucumber ,weight (g),length (cm),,,sea cucumber ,weight (g),length (cm),,,,,,,
,1,369,18.5,,,1,320,18,,,,,,,
,2,357,17,,,2,215,15.5,,,,,,,
,3,346,17.5,,,3,140,12,,,,,,,
,4,182,12.5,,,4,170,10,,,,,,,
,5,408,18,,,5,285,16.5,,,,,,,
,6,396,17.5,,,6,125,13,,,,,,,
,7,287,18,,,7,251,16.5,,,,,,,
,8,381,16.5,,,8,165,14,,,,,,,
,9,277,16,,,9,368,17.5,,,,,,,
,Mean ,333.6666667,16.83333333,,,Mean ,226.5555556,14.77777778,,,,,,,
,SD ,72.44653201,1.802775638,,,SD,84.9104103,2.70544718,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Replicate 1,,,,,,,,,,,,,,
,Rope,Weight(g),Rope ,Weight (g),Rope,Weight(g),,,,,,,,,
,R1 S3,20,R2 S2,14,R3 S1,29,,,,,,,,,
,R1 S7,22,R2 S4,34,R3 S5,12,,,,,,,,,
,R1 S9,30,R2 S9,18,R3 S9,0,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Replicate 2 ,,,,,,,,Water quality ,,,,,,
,Rope,Weight(g),Rope ,Weight (g),Rope,Weight(g),,,Sample ,PH,TDS (ppt),Salinity (ppt),Temperature,DO(mg/l) winkler,Conductivity (mS)
,R1 S1,10,R2 S3,44,R3 S2,42,,,Site 1  R 1,8.12,16.49,20.76,28.3,5.696,23.9
,R1 S7,14,R2 S8,39,R3 S7,20,,,               R2,8.11,16.7,20.98,28.2,8.469,24.5
,R1 S10,19,R2 S10,35,R3 S9,34,,,               R3,8.14,16.79,21.07,28.2,7.498,24.6
,,,,,,,,,Site 2  R 1,8.17,16.88,21.2,28.1,7.08,24.8
,,,,,,,,,               R2 ,8.21,16.98,21.33,28.1,7.36,25
,,,,,,,,,               R3,8.3,17.12,21.5,28.1,8.608,25.2
,,,,,,,,,,,,,,,
,Replicate 3 ,,,,,,,,,,,,,,
,Rope,Weight(g),Rope ,Weight (g),Rope,Weight(g),,,,,,,,,
,R1 S5,24,R2 S1,8,R3 S1,29,,,,,,,,,
,R1 S9,19,R2 S6,36,R3 S5,0,,,,,,,,,
,R1 S10,32,R2 S10,7,R3 S10,17,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
