date;15;02;2026,,,,,,,,,,,
,,,,,,,,,,,
,under IMTA,,,,,under  monoculture,,,,,
,sea cucumber ,weight (g),length (cm),,,sea cucumber ,weight (g),length (cm),,,
,1,354,15.5,,,1,345,16,,,
,2,376,16.5,,,2,355,16.5,,,
,3,344,16,,,3,374,15,,,
,4,434,18,,,4,435,17.5,,,
,5,574,19.5,,,5,423,18,,,
,6,415,18.5,,,6,365,16.5,,,
,7,362,17,,,7,156,13,,,
,Mean ,408.4285714,17.28571429,,,8,357,21,,,
,SD,80.0330289,1.439245834,,,Mean ,351.25,16.6875,,,
,,,,,,SD,85.4212252,2.328971263,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,s
