date;18;02;2026,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Sample ,PH ,TDS (ppt),Salinity(ppt),Temperature,DO (mg/L),Conductivity (mS),,,
,Site 1    R1,8.18,15.8,19.69,28,7.36,23.2,,,
,               R2,8.24,21.2,27.23,28.2,5.69,31.2,,,
,               R3,8.23,17.54,22.07,28.1,6.112,25.8,,,
,Site 2    R1,8.24,17.7,22.31,28.2,4.48,26.1,,,
,               R2,8.24,21.3,27.36,28.1,6.523,31.3,,,
,               R3,8.23,17.78,22.4,28,6.113,26,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,sample ,NO2-(µg/L),NANO2(µg/L),NO2--N(µg/L),P2O5(µg/L),P(µg/L),PO43-(µg/L)
,,,,Site 1      R1,48,72,15,47,21,63
,,,,                   R2     ,50,76,15,155,68,207
,,,,                   R3,51,74,15,84,37,112
,,,,Site 2      R1,49,73,15,102,44,136
,,,,                   R2     ,52,78,16,22,9,29
,,,,                   R3,46,69,14,35,15,47
