date;25;02;2026,,,,,,,
,Sample ,PH ,TDS (ppt),Salinity(ppt),Temperature,DO (mg/L),Conductivity (mS)
,Site 1    R1,8.08,15.46,19.27,28,6.112,22.7
,               R2,8.11,16.31,20.42,28.1,6.528,24
,               R3,8.14,16.68,20.92,28,8.608,24.5
,Site 2    R1,8.15,16.72,20.99,27.9,8.608,24.7
,               R2,8.14,17.08,21.49,27.8,8.192,25
,               R3,8.12,17.35,21.83,27.5,5.696,25.5
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Replicate 1,,,,,,
,Rope 1 ,weight (g),Rope 2,weight (g),Rope 3 ,weight(g),
,R1 S1,30,R2 S1,20,R3 S1,32,
,R1 S2,22,R2 S2,18,R3 S2,26,
,R1 S3,20,R2 S3,34,R3 S3,29,
,R1 S4,45,R2 S4,35,R3 S4,3,
,R1 S5,16,R2 S5,17,R3 S5,12,
,R1 S6,28,R2 S6,32,R3 S6,21,
,R1 S7,23,R2 S7,28,R3 S7,24,
,R1 S8,20,R2 S8,22,R3 S8,16,
,R1 S9,33,R2 S9,22,R3 S9,0,
,R1 S10,0,R2 S10,0,R3 S10,15,
,,,,,,,
,,,,,,,
,Replicate 2 ,,,,,,
,Rope 1 ,weight (g),Rope 2,weight (g),Rope 3 ,weight(g),
,R1 S1,10,R2 S1,29,R3 S1,31,
,R1 S2,19,R2 S2,42,R3 S2,46,
,R1 S3,15,R2 S3,46,R3 S3,21,
,R1 S4,20,R2 S4,19,R3 S4,0,
,R1 S5,18,R2 S5,21,R3 S5,42,
,R1 S6,20,R2 S6,31,R3 S6,18,
,R1 S7,16,R2 S7,31,R3 S7,23,
,R1 S8,15,R2 S8,41,R3 S8,0,
,R1 S9,0,R2 S9,24,R3 S9,35,
,R1 S10,22,R2 S10,37,R3 S10,18,
,,,,,,,
,,,,,,,
,Replicate 3 ,,,,,,
,Rope 1 ,weight (g),Rope 2,weight (g),Rope 3 ,weight(g),
,R1 S1,33,R2 S1,10,R3 S1,32,
,R1 S2,27,R2 S2,0,R3 S2,0,
,R1 S3,22,R2 S3,19,R3 S3,0,
,R1 S4,23,R2 S4,22,R3 S4,17,
,R1 S5,26,R2 S5,44,R3 S5,0,
,R1 S6,23,R2 S6,39,R3 S6,13,
,R1 S7,0,R2 S7,43,R3 S7,22,
,R1 S8,25,R2 S8,31,R3 S8,24,
,R1 S9,22,R2 S9,24,R3 S9,10,
,R1 S10,37,R2 S10,10,R3 S10,20,
,,,,,,,
