week 2,14.01.2026,,,,,,,,,,,,,,,,,,
under IMTA,,,,under monoculture,,,,,,,,,,,,,,,
sea cucumber ,Weight (g),Length(cm),,sea cucumber ,weight (g),Length(cm),,,,,,,,,,,,,
1,278,17,,1,315,17,,weeks,mean weight IMTA ,mean weight Monoculture,,,,,,,,,
2,292,15,,2,263,15.5,,1,331.83,310.8,,,,,,,,,
3,367,18,,3,405,15,,2,272.3,281.64,,,,,,,,,
4,359,14,,4,260,14.5,,3,345,364.6,,,,,,,,,
5,373,17.5,,5,360,15.5,,4,333.67,226.56,,,,,,,,,
6,279,16.5,,6,329,15.5,,5,408.43,351.25,,,,,,,,,
7,435,17,,7,255,16,,,,,,,,,,,,,
8,436,20,,8,249,13.5,,,,,,,,,,,,,
9,272,17,,9,351,17.5,,,,,,,,,,,,,
10,138,12,,10,321,15,,,,,,,,,,,,,
11,396,17,,,,,,,,,,,,,,,,,
12,357,18,,,,,,,,,,,,,,,,,
Mean ,331.83,16.58,,Mean ,310.80,15.50,,weeks ,mean length IMTA ,mean length Monoculture,,,,,,,,,
SD,84.39,2.08,,SD,52.87,1.15,,1,16.58,15.5,,,,,,,,,
,,,,,,,,2,14.9,15.43,,,,,,,,,
,,,,,,,,3,17.38,16.7,,,,,,,,,
,,,,,,,,4,16.83,14.78,,,,,,,,,
,,,,,,,,5,17.29,16.69,,,,,,,,,
week 3,24.01.2026,,,,,,,,,,,,,,,,,,
under IMTA,,,,under  monoculture,,,,,,,,,,,,,,,
sea cucumber ,weight (g),length (cm),,sea cucumber ,weight (g),length (cm),,,,,,,,,,,,,
1,248,13.5,,1,447,17,,,,,,,,,,,,,
2,276,14,,2,361,17.5,,,,,,,,,,,,,
3,260,14.5,,3,228,14,,,,,,,,,,,,,
4,316,17,,4,147,13,,,,,,,,,,,,,
5,123,11.5,,5,213,13.5,,,,,,,,,,,,,
6,262,14,,6,349,18,,,,,,,,,,,,,
7,387,17,,7,134,12.5,,,,,,,,,,,,,
8,403,17.5,,8,280,14.5,,,,,,,,,,,,,
9,306,17.5,,9,372,18,,,,,,,,,,,,,
10,142,12.5,,10,112,10.5,,,,,,,,,,,,,
Mean ,272.3,14.9,,11,402,18,,,,,,,,,,,,,
SD,90.32,2.20,,12,378,18.5,,Treatment ,Initial mean weight (g),final mean weight (g),weight change (g),% change ,AGR (g/day),SGR (%/day ),,,,,
,,,,13,277,15,,IMTA ,331.83,272.3,,,,,,,,,
,,,,14,243,16,,Monoculture ,310.8,281.64,,,,,,,,,
,,,,Mean ,281.64,15.43,,,,,,,,,,,,,
,,,,SD,106.67,2.51,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,weeks ,SGR ,AGR 
,,,,,,,,,,,,,,,,,3,,
,,,,,,,,,,,,,,,,,4,,
week 4,01.02.2026,,,,,,,,,,,,,,,,5,,
under IMTA,,,,under monoculture,,,,,,,,,,,,,7,,
sea cucumber ,Weight (g),Length(cm),,sea cucumber ,weight (g),Length(cm),,,,,,,,,,,,,
1,364,17,,1,520,20,,,,,,,,,,,,,
2,288,16.5,,2,396,17.5,,,,,,,,,,,,,
3,421,19.5,,3,241,14,,,,,,,,,,,,,
4,307,16.5,,4,294,14,,Treatment ,Initial mean weight (g),final mean weight (g),weight change (g),% change ,AGR (g/day),SGR (%/day ),,,,,
Mean ,345,17.38,,5,372,18,,IMTA ,272.3,345,,,,,,,,,
SD,60.08,1.44,,Mean ,364.6,16.7,,Monoculture ,281.64,364.6,,,,,,,,,
,,,,SD,106.60,2.64,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
week 5,06.02.2026,,,,,,,,,,,,,,,,,,
IMTA,,,,Monoculture,,,,,,,,,,,,,,,
sea cucumber ,weight (g),length (cm),,sea cucumber ,weight (g),length (cm),,,,,,,,,,,,,
1,369,18.5,,1,320,18,,,,,,,,,,,,,
2,357,17,,2,215,15.5,,,,,,,,,,,,,
3,346,17.5,,3,140,12,,,,,,,,,,,,,
4,182,12.5,,4,170,10,,,,,,,,,,,,,
5,408,18,,5,285,16.5,,,,,,,,,,,,,
6,396,17.5,,6,125,13,,,,,,,,,,,,,
7,287,18,,7,251,16.5,,Treatment ,Initial mean weight (g),final mean weight (g),weight change (g),% change ,AGR (g/day),SGR (%/day ),,,,,
8,381,16.5,,8,165,14,,IMTA ,345,333.67,,,,,,,,,
9,277,16,,9,368,17.5,,Monoculture ,364.6,226.56,,,,,,,,,
Mean ,333.67,16.83,,Mean ,226.56,14.78,,,,,,,,,,,,,
SD ,72.45,1.80,,SD,84.91,2.71,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
week 6,15.02.2026,,,,,,,,,,,,,,,,,,
under IMTA,,,,under  monoculture,,,,,,,,,,,,,,,
sea cucumber ,weight (g),length (cm),,sea cucumber ,weight (g),length (cm),,,,,,,,,,,,,
1,354,15.5,,1,345,16,,,,,,,,,,,,,
2,376,16.5,,2,355,16.5,,,,,,,,,,,,,
3,344,16,,3,374,15,,,,,,,,,,,,,
4,434,18,,4,435,17.5,,,,,,,,,,,,,
5,574,19.5,,5,423,18,,,,,,,,,,,,,
6,415,18.5,,6,365,16.5,,Treatment ,Initial mean weight (g),final mean weight (g),weight change (g),% change ,AGR (g/day),SGR (%/day ),,,,,
7,362,17,,7,156,13,,IMTA ,333.67,408.43,,,,,,,,,
Mean ,408.43,17.29,,8,357,21,,Monoculture ,226.67,351.25,,,,,,,,,
SD,80.03,1.44,,Mean ,351.25,16.69,,,,,,,,,,,,,
,,,,SD,85.42,2.33,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Treatment ,Initial mean weight ,Final mean weight ,weight change ,%change ,AGR,SGR,,,,,,,,,,,,,
IMTA,331.83,408.43,76.6,,2.32,0.63,,,,,,,,,,,,,
Monoculture,310.8,351.25,40.45,,1.23,0.37,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,IMTA,Monoculture,,,,,,,,,,,,,,,
,,AGR,2.32,1.23,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,IMTA,Monoculture,,,,,,,,,,,,,,,
,,SGR,0.63,0.37,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
