Replicate 1,,,,,,,Replicate 2,,,,,,,Replicate 3,,,,,,,,,,
seedlings ,initial weight (g),1,2,final weight (g),,,seedlings,initial weight (g),1,2,final weight (g),,,seedlings ,initial weight (g),1,2,final weight (g),,,,,,
R1 S1,20,21,,30,,,R1 S1,6,7,10,10,,,R1 S1,25,26,,33,,,,,,
R1 S2,12,,,22,,,R1 S2,10,,,19,,,R1 S2,21,,,27,,,,,,
R1 S3,16,,20,20,,,R1 S3,9,,,15,,,R1 S3,13,,,22,,,,,,
R1 S4,36,37,,45,,,R1 S4,12,13,,20,,,R1 S4,13,,,23,,,,,,
R1 S5,11,,,16,,,R1 S5,11,,,18,,,R1 S5,19,20,24,26,,,,initial weight ,,1566
R1 S6,20,,,28,,,R1 S6,14,,,20,,,R1 S6,13,,,23,,,,final weight ,,1999
R1 S7,17,17,22,23,,,R1 S7,10,11,14,16,,,R1 S7,16,,,0,,,,culture period ,,51 days
R1 S8,14,,,20,,,R1 S8,8,,,15,,,R1 S8,16,,,25,,,,total weight gain ,,433
R1 S9,26,,30,33,,,R1 S9,12,0,,0,,,R1 S9,12,,19,22,,,,,,
R1 S10,18,0,,0,,,R1 S10,15,16,19,22,,,R1 S10,28,29,32,37,,,,,,
,,,,,,,,,,,,,,,,,,,,,,AGR =,wf-wi/t,8.49g/day
R2 S1,14,14,,20,,,R2 S1 ,22,22,,29,,,R2 S1,5,6,8,10,,,,SGR,(lnwf-lnwi/t)100,0.49%/day 
R2 S2,9,,14,18,,,R2 S2,35,,,42,,,R2 S2,31,,,0,,,,,,
R2 S3,24,,,34,,,R2 S3,38,,44,46,,,R2 S3,13,,,19,,,,,,
R2 S4,29,30,34,35,,,R2 S4,13,13,,19,,,R2 S4,13,14,,22,,,,,,
R2 S5,13,,,17,,,R2 S5,15,,,21,,,R2 S5,33,,,44,,,,,,
R2 S6,22,,,32,,,R2 S6,24,,,31,,,R2 S6,31,,36,39,,,,,,
R2 S7,21,22,,28,,,R2 S7,22,23,,31,,,R2 S7,34,,,43,,,,,,
R2 S8,13,,,22,,,R2 S8,34,,39,41,,,R2 S8,21,23,,31,,,,,,
R2 S9,15,16,18,22,,,R2 S9,14,,,24,,,R2 S9,16,,,24,,,,,,
R2 S10,9,,,0,,,R2 S10,30,,35,37,,,R2 S10,5,6,7,10,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
R3 S1,24,25,29,32,,,R3 S1,23,23,,31,,,R3 S1,25,26,29,32,,,,,,
R3 S2,16,,,26,,,R3 S2,35,,42,46,,,R3 S2,5,,,0,,,,,,
R3 S3,24,,,29,,,R3 S3,14,,,21,,,R3 S3,16,,,0,,,,,,
R3 S4,23,23,,31,,,R3 S4,12,0,,0,,,R3 S4,10,11,,17,,,,,,
R3 S5,8,,12,12,,,R3 S5,31,,,42,,,R3 S5,24,,0,0,,,,,,
R3 S6,12,,,21,,,R3 S6,10,,,18,,,R3 S6,9,,,13,,,,,,
R3 S7,18,19,,24,,,R3 S7,17,18,20,23,,,R3 S7,15,16,,22,,,,,,
R3 S8,10,,,16,,,R3 S8,10,,,0,,,R3 S8,16,,,24,,,,,,
R3 S9,7,,0,0,,,R3 S9,28,,34,35,,,R3 S9,5,,,10,,,,,,
R3 S10,8,9,,15,,,R3 S10,10,11,,18,,,R3 S10,10,11,17,20,,,,,,
Mean ,16.97,,,22.37,,,Mean,18.13,,,23.67,,,Mean,17.1,,,20.6,,,,,,
SD,6.98,,,10.46,,,SD,9.53,,,12.77,,,SD,8.56,,,12.75,,,,,,
sum ,509,,,671,,,sum ,544,,,710,,,sum,513,,,618,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
AGR =,wf-wi/t,8.49g/day,,,,,,,,,,,,,,,,,,,,,,
SGR,(lnwf-lnwi/t)100,0.49%/day ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,seaweed biomass,,,,,,,,,,,initial weight ,,1566,,,,,,,,,,
,replicates ,Initial biomass,Final biomass,,,,,,,,,final weight ,,1999,,,,,,,,,,
,Rep 1,509,671,,,,,,,,,culture period ,,51 days,,,,,,,,,,
,Rep 2,544,710,,,,,,,,,total weight gain ,,433,,,,,,,,,,
,Rep 3,513,618,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Replicate,n,Initial  total,Final total,Biomass gain ,% gain ,Survival %,,,,,,,,,,,,,,,,,,
Rep 1,30,509,671,162,31.83,90,,,,,,,,,,,,,,,,,,
Rep 2,30,544,710,166,30.51,90,,,,,,,,,,,,,,,,,,
Rep 3,30,513,618,105,20.47,83.33,,,,,,,,,,,,,,,,,,
Overall,90,1566,1999,433,27.65,87.78,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Replicate ,Mean Initial Weight ,Mean Final Weight ,Mean weight gain,,,,,,,,,,,,,,,,,,,,,
1,16.97+,22.37,5.4,,,survival ,,,,,,,,,,,,,,,,,,
2,18.13,23.67,5.54,,Rep 1,90,,,,,,,,,,,,,,,,,,
3,17.1,20.6,3.5,,Rep 2,90,,,,,,,,,,,,,,,,,,
Overall,17.4,22.21,4.81,,Rep 3,83.33,,,,,,,,,,,,,,,,,,
,,,,,overall,87.78,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
