week 2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water quality ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ,PH,TDS (ppt),Salinity (ppt),Temperature,DO(mg/l) winkler,Conductivity (mS),,,,,,,,,,,,,,,,,,,,,,,,,,,Nitrite,,,,,,,,,,,,,,,,,Treatment ,PH,Salinity ,Temperature,DO,Conductivity,TDS
Site 1  R 1,8.13,16.58,20.74,27.9,6.32,24.4,,,,,,,,,,,,PH,,,,,,,,,,,,,,,,IMTA,Monoculture,,,,,,,,,,,,,,,IMTA,8.23+-0.08,,,,,
               R2,8.17,16.42,20.55,28.4,5.70,24.3,,,,,,,,,,,,,IMTA,Monoculture,,,,,,,,,,,,,3,57.33,62,,,,,,,,,,,,,,,Monoculture,,,,,,
               R3,8.28,16.54,20.69,28.3,5.69,24.3,,,,,,,,,,,,1,8.19,8.15,,,,,,,,,,,,,7,49.67,49,,,,,,,,,,,,,,,Overall range ,,,,,,
Mean ,8.19,16.51,20.66,28.2,5.90,24.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0.08,0.08,0.10,0.26,0.36,0.06,,,,,,,,,,,,2,8.2,8.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,
Site 2  R 1,8.11,16.46,20.57,29.3,4.06,24.2,,,,,,,,,,,,3,8.35,8.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
               R2 ,8.20,16.47,20.59,28.8,4.48,24.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
               R3,8.15,16.6,20.77,27.9,6.11,24.4,,,,,,,,,,,,4,8.12,8.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mean ,8.15,16.51,20.64,28.67,4.89,24.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0.05,0.08,0.11,0.71,1.08,0.12,,,,,,,,,,,,5,8.22,8.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
