"Treatment","Weight","Length"
"IMTA",278,17
"IMTA",292,15
"IMTA",367,18
"IMTA",359,14
"IMTA",373,17.5
"IMTA",279,16.5
"IMTA",435,17
"IMTA",436,20
"IMTA",272,17
"IMTA",138,12
"IMTA",396,17
"IMTA",357,18
"IMTA",248,13.5
"IMTA",276,14
"IMTA",260,14.5
"IMTA",316,17
"IMTA",123,11.5
"IMTA",262,14
"IMTA",387,17
"IMTA",403,17.5
"IMTA",306,17.5
"IMTA",142,12.5
"IMTA",364,17
"IMTA",288,16.5
"IMTA",421,19.5
"IMTA",307,16.5
"IMTA",369,18.5
"IMTA",357,17
"IMTA",346,17.5
"IMTA",182,12.5
"IMTA",408,18
"IMTA",396,17.5
"IMTA",287,18
"IMTA",381,16.5
"IMTA",277,16
"IMTA",354,15.5
"IMTA",376,16.5
"IMTA",344,16
"IMTA",434,18
"IMTA",574,19.5
"IMTA",415,18.5
"IMTA",362,17
"IMTA",331.83,408.43
"IMTA",310.8,351.25
"Monoculture",315,17
"Monoculture",263,15.5
"Monoculture",405,15
"Monoculture",260,14.5
"Monoculture",360,15.5
"Monoculture",329,15.5
"Monoculture",255,16
"Monoculture",249,13.5
"Monoculture",351,17.5
"Monoculture",321,15
"Monoculture",447,17
"Monoculture",361,17.5
"Monoculture",228,14
"Monoculture",147,13
"Monoculture",213,13.5
"Monoculture",349,18
"Monoculture",134,12.5
"Monoculture",280,14.5
"Monoculture",372,18
"Monoculture",112,10.5
"Monoculture",402,18
"Monoculture",378,18.5
"Monoculture",277,15
"Monoculture",243,16
"Monoculture",520,20
"Monoculture",396,17.5
"Monoculture",241,14
"Monoculture",294,14
"Monoculture",372,18
"Monoculture",320,18
"Monoculture",215,15.5
"Monoculture",140,12
"Monoculture",170,10
"Monoculture",285,16.5
"Monoculture",125,13
"Monoculture",251,16.5
"Monoculture",165,14
"Monoculture",368,17.5
"Monoculture",345,16
"Monoculture",355,16.5
"Monoculture",374,15
"Monoculture",435,17.5
"Monoculture",423,18
"Monoculture",365,16.5
"Monoculture",156,13
"Monoculture",357,21
