"Replicate","Initial","Final","Gain"
"Rep1",20,30,10
"Rep1",12,22,10
"Rep1",16,20,4
"Rep1",36,45,9
"Rep1",11,16,5
"Rep1",20,28,8
"Rep1",17,23,6
"Rep1",14,20,6
"Rep1",26,33,7
"Rep1",18,0,-18
"Rep1",14,20,6
"Rep1",9,18,9
"Rep1",24,34,10
"Rep1",29,35,6
"Rep1",13,17,4
"Rep1",22,32,10
"Rep1",21,28,7
"Rep1",13,22,9
"Rep1",15,22,7
"Rep1",9,0,-9
"Rep1",24,32,8
"Rep1",16,26,10
"Rep1",24,29,5
"Rep1",23,31,8
"Rep1",8,12,4
"Rep1",12,21,9
"Rep1",18,24,6
"Rep1",10,16,6
"Rep1",7,0,-7
"Rep1",8,15,7
"Rep1",6.97524357915233,10.4600498888945,3.48480630974213
"Rep2",6,10,4
"Rep2",10,19,9
"Rep2",9,15,6
"Rep2",12,20,8
"Rep2",11,18,7
"Rep2",14,20,6
"Rep2",10,16,6
"Rep2",8,15,7
"Rep2",12,0,-12
"Rep2",15,22,7
"Rep2",22,29,7
"Rep2",35,42,7
"Rep2",38,46,8
"Rep2",13,19,6
"Rep2",15,21,6
"Rep2",24,31,7
"Rep2",22,31,9
"Rep2",34,41,7
"Rep2",14,24,10
"Rep2",30,37,7
"Rep2",23,31,8
"Rep2",35,46,11
"Rep2",14,21,7
"Rep2",12,0,-12
"Rep2",31,42,11
"Rep2",10,18,8
"Rep2",17,23,6
"Rep2",10,0,-10
"Rep2",28,35,7
"Rep2",10,18,8
"Rep2",9.52938588799398,12.7666951771837,3.23730928918975
"Rep3",25,33,8
"Rep3",21,27,6
"Rep3",13,22,9
"Rep3",13,23,10
"Rep3",19,26,7
"Rep3",13,23,10
"Rep3",16,0,-16
"Rep3",16,25,9
"Rep3",12,22,10
"Rep3",28,37,9
"Rep3",5,10,5
"Rep3",31,0,-31
"Rep3",13,19,6
"Rep3",13,22,9
"Rep3",33,44,11
"Rep3",31,39,8
"Rep3",34,43,9
"Rep3",21,31,10
"Rep3",16,24,8
"Rep3",5,10,5
"Rep3",25,32,7
"Rep3",5,0,-5
"Rep3",16,0,-16
"Rep3",10,17,7
"Rep3",24,0,-24
"Rep3",9,13,4
"Rep3",15,22,7
"Rep3",16,24,8
"Rep3",5,10,5
"Rep3",10,20,10
"Rep3",8.55549833289318,12.748495516375,4.19299718348186
